,cust_no,age_level,exp_code,source_code,0,1,2,5,9,A,trans_type,c0,c1,c2,c3,c4,c5,c6,current_c,H,O,R,company_type,avg_stock,current_stock,avg_amount,current_amount,label
2657,0x3CE77FF04D3F72552A47D982268A2BD94CCE3694C98DD17E0E55865211FF8D5E,2,2,2,42,0,0,0,0,0,0,10,20,4,5,3,0,0,0,42,0,0,H,1428.57142857143,1000,37009.0476190476,10200,0
2658,0x138D27062E08BC8E7614760AF5319C4E5587F9A8E12FAC16F5646F5B928EE850,3,0,1,10,0,0,0,0,0,0,1,2,1,0,0,0,6,1,10,0,0,H,615,1000,23742.4,23300,0
2659,0xBE8A4521B1911C9DCC64B4C7BFE5987663AD1092384F984C9B754D7EBD94FF6B,3,1,2,21,0,0,0,0,0,0,10,2,5,2,0,2,0,0,12,9,0,O,1047.61904761905,1000,40205.2380952381,37200,0
2660,0xA17200AD51B2E790273250EC8AC319E9B864CC3866F65733097BF88BD21B415D,2,3,2,19,0,0,0,0,0,0,9,5,0,0,3,2,0,1,10,9,0,O,851.684210526316,1000,47060.8852631579,22800,0
2661,0xF7480E0534FE92F1497AC4433189B3FD543B94BDE4E09267C1DD6FCE55DCE8B5,4,4,2,55,0,0,0,0,0,0,25,9,14,2,0,3,2,1,51,4,0,O,6544.58181818182,3000,156935.629090909,49410,0
2662,0x774BFDD1B96C25286B59D94FB718F364FFB1312A459BE5FDE52D88ACCDC74828,2,1,2,10,0,0,0,0,0,0,2,2,6,0,0,0,0,0,10,0,0,H,2000,1000,54070,24000,0
2663,0x7D70FF61950AE55DF8A6ECE87FFC727EBCFAF4BDF5E19E9F73456FC0E0A9744F,2,0,2,134,0,0,0,0,0,0,65,23,17,7,16,0,6,2,119,15,0,H,1125.79104477612,1000,57591.3634328358,25650,0
2664,0x39263149BF1D4CB3A6A9747C32FE7B2719E70D4CF0C95C5CA4895C27AC255962,2,0,1,45,0,0,0,0,0,0,21,8,6,2,4,0,4,2,37,8,0,H,599.955555555556,1000,16373.0466666667,8630,0
2665,0x575F0CA284BDC060DA351F32ED72FD1676F6624B889FCFEE4033298A71250C21,2,3,2,34,0,0,0,0,2,0,30,2,0,0,0,1,3,1,29,7,0,H,1611.11111111111,2000,95519.1666666667,16040,0
2666,0x07958D8C3A6105E9871F2C0D7363246B0ABAFBE09DFA4EACFB36820FACB7504F,3,2,2,14,0,0,0,0,0,0,1,3,4,0,3,0,3,4,14,0,0,H,1000,1000,21442.8571428571,33500,0
2667,0x2234546E1DDD7227151E261157CAD3EA9157B1224A76570ED34AA4B204BA3B08,2,2,2,21,0,0,0,0,0,0,6,4,4,0,6,1,0,0,21,0,0,H,7952.38095238095,10000,92888.0952380952,91100,0
2668,0xA8C61B34ED20A1430CB0B5DB5763642DC3A2C11F5A893A313220DFD198DB6165,4,0,2,79,0,0,0,0,0,0,38,32,2,3,2,2,0,1,73,6,0,H,1101.26582278481,1000,16270.8860759494,11000,0
2669,0x3AE1C438629B80BE37C1BBBCF2DB8C97AA8B2C8BEFC66C56564CC4084D4E5453,2,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,12,6,13,0,0,H,970.769230769231,1000,21677.5384615385,25430,0
2670,0x9FC47EE3B2086DA59A0E10E00C2A6429064A34C795BBFCF73E7350D6C2AF221C,2,4,2,29,0,0,0,0,2,0,17,4,0,0,5,5,0,1,17,14,0,H,968.161290322581,1000,44621.1677419355,41000,0
2671,0x1E981164FBFECD2D5FC964D6A9A5444D26D3B027FE2DF3C5CFBC7955F9945B3B,2,0,2,13,0,0,0,0,0,0,3,0,8,0,0,0,2,2,13,0,0,H,1153.84615384615,1000,24845.3846153846,18450,0
2672,0xC1875B3CA9797AC980DAC11D94C3D2B21DDEED24B23F1C5AC44221235A26710C,4,0,2,12,0,0,0,0,0,0,1,2,9,0,0,0,0,1,12,0,0,H,1083.33333333333,2000,21707.5,33260,0
2673,0x4751C705512B723FBC1F855C67BE6E29F95806D186579BAD4CEE574288EF0A83,2,3,2,28,0,0,0,0,0,0,18,5,0,0,0,1,4,0,21,7,0,H,2571.42857142857,1000,65271.0714285714,48300,0
2674,0x69238CCD6BEAFD1B7B97AEDBF6C7E868470356B406A9DDE6DB31AC1930A52711,4,2,2,132,0,0,0,0,0,0,88,35,9,0,0,0,0,1,132,0,0,H,259.015151515151,8000,16144.378030303,118400,0
2675,0xF88393064040BAAA3902DFF224A68F7483075475E73181950605AC630A9E6445,4,3,2,123,0,0,0,0,0,0,29,16,9,4,0,2,63,6,115,8,0,H,1473.34146341463,2000,109070.534146341,164200,0
2676,0x4FCA3F119A9352147CF8AA826E14BA9DAB340F33BD290468CA7A1135F2895E94,2,0,1,28,0,0,0,0,2,0,25,5,0,0,0,0,0,0,30,0,0,H,1017.73333333333,1000,117067.394666667,30350,0
2677,0xB02BCDE5CFF40BAF382A455BE1122F3369C8A36602FF6F05919F3A627675E0D8,2,0,2,39,0,2,0,0,16,0,23,8,0,0,10,16,0,0,47,10,0,H,1566.89473684211,1000,50784.4640350877,18800,0
2678,0x82DF4B8D79A2E23D1CCB2190467CC55B95712EC6B31A9B5AF01BBCDECA2FC2F7,4,0,2,25,0,0,0,0,0,0,21,2,0,0,2,0,0,4,25,0,0,H,3520,5000,421838,154750,0
2679,0x117E917B8945D343A2D4CE323F4966A7A8B640D0FD0989070A1DD1B87A8CCBA8,2,4,2,132,0,0,0,0,10,0,142,0,0,0,0,0,0,0,90,52,0,H,1045.99295774648,1000,78017.6378873239,40150,0
2680,0x64147BA21CCEE936218233783BE623407FDB810610D23E3BA96D763CBCE60691,2,0,2,13,0,0,0,0,0,0,1,0,2,2,8,0,0,0,11,2,0,H,1232.30769230769,20,18834.6153846154,10090,0
2681,0xBD9157C8F992D7527B1E62D4F80E15288027E2DD405E73EA7E1EECD818EFBB2A,2,0,2,38,0,0,0,0,0,0,11,7,0,2,10,0,8,6,34,4,0,H,192.421052631579,8,5253.78236842105,922.4,0
